"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Belarus","BLR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000000","61000000","40000000","54000000","92000000","188000000","272000000","295000000","339000000","362000000","346000000","401000000","479000000","585000000","563000000","665000000","747000000","986000000","1156000000","1230000000","1013000000","1019000000","1124500000","1221000000","1290000000","542000000","","",
"Belize","BLZ","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95000000","97000000","101000000","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000000","448000000","447000000","407000000","370000000","440000000","513000000","583000000","601000000","94000000","","",
"Bolivia","BOL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92000000","100000000","129000000","137000000","124000000","101000000","119000000","143000000","243000000","283000000","345000000","330000000","326000000","302000000","306000000","339000000","499000000","631000000","639000000","746000000","810000000","827000000","928000000","948000000","977000000","243000000","","",
"Brazil","BRA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085000000","744000000","1025000000","1398000000","1718000000","1969000000","1844000000","2142000000","2673000000","3389000000","4168000000","4577000000","5284000000","6109000000","5635000000","5522000000","6370000000","6623000000","6784000000","7405000000","6254000000","6613000000","6175000000","6324000000","6127000000","3099000000","","",
"Barbados","BRB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","628000000","665000000","670000000","718000000","734000000","795000000","728000000","695000000","840000000","843000000","905000000","1068000000","1198000000","1203000000","1076000000","1041000000","984000000","947000000","988000000","910000000","974000000","1071000000","","","","","","",
"Brunei Darussalam","BRN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155000000","113000000","124000000","181000000","191000000","224000000","233000000","242000000","254000000","","","92000000","96000000","79000000","147000000","144000000","177000000","190000000","","","","",
"Bhutan","BTN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","6000000","6000000","8000000","9000000","10000000","9000000","8000000","8000000","13000000","19000000","36000000","47000000","47000000","51000000","64000000","76000000","93000000","116000000","99000000","120000000","139000000","153000000","121000000","120000000","84000000","","",
"Botswana","BWA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176000000","105000000","141000000","179000000","239000000","227000000","235000000","324000000","459000000","582000000","563000000","540000000","548299987.792969","510700012.207031","663599975.585938","440100006.103516","468299987.792969","515599975.585938","484200012.207031","529299987.792969","534299987.792969","505000000","542010009.765625","584200012.207031","712400024.414063","217000000","","",
"Central African Republic","CAF","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000000","3000000","2000000","4000000","8000000","5000000","5000000","3000000","4000000","7800000.19073486","7199999.80926514","10199999.8092651","10800000.1907349","11800000.1907349","7500000","14399999.6185303","15000000","15000000","15600000.3814697","","","","","","","","","",
"Canada","CAN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9176000000","10073000000","10390000000","11049000000","12024000000","13035000000","12680000000","12744000000","12236000000","15135000000","15891000000","16837000000","17962000000","18190000000","15580000000","18440000000","19994000000","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20282583054.1823","20466141200.5826","20609434979.3854","21170767633.5387","26063762063.3105","30634010117.8287","35382849949.5908","39782540496.6114","49293530836.68","58870011384.7281","49075172440.7853","46639890593.24","52759785028.8225","49388847914.7523","52427847626.5766","54406256970.9757","47288934511.98","51301453985.2399","58829311855.6386","64718122568.4512","65843484713.7794","","","",
"Switzerland","CHE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11354000000","10779000000","10036000000","10188000000","9135000000","9058000000","9392000000","9198000000","10427000000","11217000000","11914000000","12961000000","14934000000","18016000000","17023000000","17883000000","20809000000","19564000000","20236000000","21358000000","20140000000","19787000000","20399000000","21294000000","21257000000","9994000000","","",
"Channel Islands","CHI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1186000000","1209000000","1401000000","1431000000","1243000000","1179000000","1184000000","1221000000","1309000000","1571000000","1608000000","1853000000","2224000000","2481000000","2380000000","2362000000","2723000000","3158000000","3171000000","3202000000","3412000000","3744000000","4115000000","3911000000","3279000000","1034000000","","",
"China","CHN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12626000000","13229000000","15006000000","17318000000","19006000000","21742000000","18707000000","27755000000","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103000000","107000000","103000000","111000000","107000000","53000000","58000000","56000000","76000000","91000000","93000000","104000000","115000000","129000000","164000000","213000000","186000000","172500000","191000000","195000000","214000000","477000000","509000000","551000000","550500000","199300003.051758","","",
"Cameroon","CMR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000000","151000000","119000000","114000000","92000000","132000000","182000000","124000000","266000000","212000000","229000000","231000000","254000000","167000000","271000000","171000000","423000000","377000000","607000000","629000000","476000000","508000000","544000000","633000000","681000000","437000000","","",
